single,double,triple,home_run,regular_rbi,tie_rbi,go_ahead_rbi,sayonara_rbi,high_conf_count
10.0,1.0,10.0,0.1,5.0,10.0,5.0,1.0,8
10.0,1.0,10.0,0.1,5.0,10.0,5.0,2.0,8
10.0,1.0,10.0,0.1,5.0,10.0,5.0,5.0,8
10.0,1.0,10.0,0.1,5.0,10.0,5.0,10.0,8
10.0,1.0,10.0,0.1,5.0,10.0,10.0,0.1,8
10.0,1.0,10.0,0.1,5.0,10.0,10.0,1.0,8
10.0,1.0,10.0,0.1,5.0,10.0,10.0,2.0,8
10.0,1.0,10.0,0.1,5.0,10.0,10.0,5.0,8
10.0,1.0,10.0,0.1,5.0,10.0,10.0,10.0,8
10.0,1.0,10.0,0.1,10.0,0.1,0.1,0.1,10
10.0,1.0,10.0,0.1,10.0,0.1,0.1,1.0,10
10.0,1.0,10.0,0.1,10.0,0.1,0.1,2.0,10
10.0,1.0,10.0,0.1,10.0,0.1,0.1,5.0,10
10.0,1.0,10.0,0.1,10.0,0.1,0.1,10.0,10
10.0,1.0,10.0,0.1,10.0,0.1,1.0,0.1,10
10.0,1.0,10.0,0.1,10.0,0.1,1.0,1.0,10
10.0,1.0,10.0,0.1,10.0,0.1,1.0,2.0,10
10.0,1.0,10.0,0.1,10.0,0.1,1.0,5.0,10
10.0,1.0,10.0,0.1,10.0,0.1,1.0,10.0,10
10.0,1.0,10.0,0.1,10.0,0.1,2.0,0.1,10
10.0,1.0,10.0,0.1,10.0,0.1,2.0,1.0,10
10.0,1.0,10.0,0.1,10.0,0.1,2.0,2.0,10
10.0,1.0,10.0,0.1,10.0,0.1,2.0,5.0,10
10.0,1.0,10.0,0.1,10.0,0.1,2.0,10.0,10
10.0,1.0,10.0,0.1,10.0,0.1,5.0,0.1,10
10.0,1.0,10.0,0.1,10.0,0.1,5.0,1.0,10
10.0,1.0,10.0,0.1,10.0,0.1,5.0,2.0,10
10.0,1.0,10.0,0.1,10.0,0.1,5.0,5.0,10
10.0,1.0,10.0,0.1,10.0,0.1,5.0,10.0,10
10.0,1.0,10.0,0.1,10.0,0.1,10.0,0.1,10
10.0,1.0,10.0,0.1,10.0,0.1,10.0,1.0,10
10.0,1.0,10.0,0.1,10.0,0.1,10.0,2.0,10
10.0,1.0,10.0,0.1,10.0,0.1,10.0,5.0,10
10.0,1.0,10.0,0.1,10.0,0.1,10.0,10.0,10
10.0,1.0,10.0,0.1,10.0,1.0,0.1,0.1,10
10.0,1.0,10.0,0.1,10.0,1.0,0.1,1.0,10
10.0,1.0,10.0,0.1,10.0,1.0,0.1,2.0,10
10.0,1.0,10.0,0.1,10.0,1.0,0.1,5.0,10
10.0,1.0,10.0,0.1,10.0,1.0,0.1,10.0,10
10.0,1.0,10.0,0.1,10.0,1.0,1.0,0.1,10
10.0,1.0,10.0,0.1,10.0,1.0,1.0,1.0,10
10.0,1.0,10.0,0.1,10.0,1.0,1.0,2.0,10
10.0,1.0,10.0,0.1,10.0,1.0,1.0,5.0,10
10.0,1.0,10.0,0.1,10.0,1.0,1.0,10.0,10
10.0,1.0,10.0,0.1,10.0,1.0,2.0,0.1,10
10.0,1.0,10.0,0.1,10.0,1.0,2.0,1.0,10
10.0,1.0,10.0,0.1,10.0,1.0,2.0,2.0,10
10.0,1.0,10.0,0.1,10.0,1.0,2.0,5.0,10
10.0,1.0,10.0,0.1,10.0,1.0,2.0,10.0,10
10.0,1.0,10.0,0.1,10.0,1.0,5.0,0.1,10
10.0,1.0,10.0,0.1,10.0,1.0,5.0,1.0,10
10.0,1.0,10.0,0.1,10.0,1.0,5.0,2.0,10
10.0,1.0,10.0,0.1,10.0,1.0,5.0,5.0,10
10.0,1.0,10.0,0.1,10.0,1.0,5.0,10.0,10
10.0,1.0,10.0,0.1,10.0,1.0,10.0,0.1,10
10.0,1.0,10.0,0.1,10.0,1.0,10.0,1.0,10
10.0,1.0,10.0,0.1,10.0,1.0,10.0,2.0,10
10.0,1.0,10.0,0.1,10.0,1.0,10.0,5.0,10
10.0,1.0,10.0,0.1,10.0,1.0,10.0,10.0,10
10.0,1.0,10.0,0.1,10.0,2.0,0.1,0.1,10
10.0,1.0,10.0,0.1,10.0,2.0,0.1,1.0,10
10.0,1.0,10.0,0.1,10.0,2.0,0.1,2.0,10
10.0,1.0,10.0,0.1,10.0,2.0,0.1,5.0,10
10.0,1.0,10.0,0.1,10.0,2.0,0.1,10.0,10
10.0,1.0,10.0,0.1,10.0,2.0,1.0,0.1,10
10.0,1.0,10.0,0.1,10.0,2.0,1.0,1.0,10
10.0,1.0,10.0,0.1,10.0,2.0,1.0,2.0,10
10.0,1.0,10.0,0.1,10.0,2.0,1.0,5.0,10
10.0,1.0,10.0,0.1,10.0,2.0,1.0,10.0,10
10.0,1.0,10.0,0.1,10.0,2.0,2.0,0.1,10
10.0,1.0,10.0,0.1,10.0,2.0,2.0,1.0,10
10.0,1.0,10.0,0.1,10.0,2.0,2.0,2.0,10
10.0,1.0,10.0,0.1,10.0,2.0,2.0,5.0,10
10.0,1.0,10.0,0.1,10.0,2.0,2.0,10.0,10
10.0,1.0,10.0,0.1,10.0,2.0,5.0,0.1,10
10.0,1.0,10.0,0.1,10.0,2.0,5.0,1.0,10
10.0,1.0,10.0,0.1,10.0,2.0,5.0,2.0,10
10.0,1.0,10.0,0.1,10.0,2.0,5.0,5.0,10
10.0,1.0,10.0,0.1,10.0,2.0,5.0,10.0,10
10.0,1.0,10.0,0.1,10.0,2.0,10.0,0.1,10
10.0,1.0,10.0,0.1,10.0,2.0,10.0,1.0,10
10.0,1.0,10.0,0.1,10.0,2.0,10.0,2.0,10
10.0,1.0,10.0,0.1,10.0,2.0,10.0,5.0,10
10.0,1.0,10.0,0.1,10.0,2.0,10.0,10.0,10
10.0,1.0,10.0,0.1,10.0,5.0,0.1,0.1,10
10.0,1.0,10.0,0.1,10.0,5.0,0.1,1.0,10
10.0,1.0,10.0,0.1,10.0,5.0,0.1,2.0,10
10.0,1.0,10.0,0.1,10.0,5.0,0.1,5.0,10
10.0,1.0,10.0,0.1,10.0,5.0,0.1,10.0,10
10.0,1.0,10.0,0.1,10.0,5.0,1.0,0.1,10
10.0,1.0,10.0,0.1,10.0,5.0,1.0,1.0,10
10.0,1.0,10.0,0.1,10.0,5.0,1.0,2.0,10
10.0,1.0,10.0,0.1,10.0,5.0,1.0,5.0,10
10.0,1.0,10.0,0.1,10.0,5.0,1.0,10.0,10
10.0,1.0,10.0,0.1,10.0,5.0,2.0,0.1,10
10.0,1.0,10.0,0.1,10.0,5.0,2.0,1.0,10
10.0,1.0,10.0,0.1,10.0,5.0,2.0,2.0,10
10.0,1.0,10.0,0.1,10.0,5.0,2.0,5.0,10
10.0,1.0,10.0,0.1,10.0,5.0,2.0,10.0,10
10.0,1.0,10.0,0.1,10.0,5.0,5.0,0.1,10
10.0,1.0,10.0,0.1,10.0,5.0,5.0,1.0,10
10.0,1.0,10.0,0.1,10.0,5.0,5.0,2.0,10
10.0,1.0,10.0,0.1,10.0,5.0,5.0,5.0,10
10.0,1.0,10.0,0.1,10.0,5.0,5.0,10.0,10
10.0,1.0,10.0,0.1,10.0,5.0,10.0,0.1,10
10.0,1.0,10.0,0.1,10.0,5.0,10.0,1.0,10
10.0,1.0,10.0,0.1,10.0,5.0,10.0,2.0,10
10.0,1.0,10.0,0.1,10.0,5.0,10.0,5.0,10
10.0,1.0,10.0,0.1,10.0,5.0,10.0,10.0,10
10.0,1.0,10.0,0.1,10.0,10.0,0.1,0.1,10
10.0,1.0,10.0,0.1,10.0,10.0,0.1,1.0,10
10.0,1.0,10.0,0.1,10.0,10.0,0.1,2.0,10
10.0,1.0,10.0,0.1,10.0,10.0,0.1,5.0,10
10.0,1.0,10.0,0.1,10.0,10.0,0.1,10.0,10
10.0,1.0,10.0,0.1,10.0,10.0,1.0,0.1,10
10.0,1.0,10.0,0.1,10.0,10.0,1.0,1.0,10
10.0,1.0,10.0,0.1,10.0,10.0,1.0,2.0,10
10.0,1.0,10.0,0.1,10.0,10.0,1.0,5.0,10
10.0,1.0,10.0,0.1,10.0,10.0,1.0,10.0,10
10.0,1.0,10.0,0.1,10.0,10.0,2.0,0.1,10
10.0,1.0,10.0,0.1,10.0,10.0,2.0,1.0,10
10.0,1.0,10.0,0.1,10.0,10.0,2.0,2.0,10
10.0,1.0,10.0,0.1,10.0,10.0,2.0,5.0,10
10.0,1.0,10.0,0.1,10.0,10.0,2.0,10.0,10
10.0,1.0,10.0,0.1,10.0,10.0,5.0,0.1,10
10.0,1.0,10.0,0.1,10.0,10.0,5.0,1.0,10
10.0,1.0,10.0,0.1,10.0,10.0,5.0,2.0,10
10.0,1.0,10.0,0.1,10.0,10.0,5.0,5.0,10
10.0,1.0,10.0,0.1,10.0,10.0,5.0,10.0,10
10.0,1.0,10.0,0.1,10.0,10.0,10.0,0.1,10
10.0,1.0,10.0,0.1,10.0,10.0,10.0,1.0,10
10.0,1.0,10.0,0.1,10.0,10.0,10.0,2.0,10
10.0,1.0,10.0,0.1,10.0,10.0,10.0,5.0,10
10.0,1.0,10.0,0.1,10.0,10.0,10.0,10.0,10
10.0,1.0,10.0,1.0,0.1,0.1,0.1,0.1,8
10.0,1.0,10.0,1.0,0.1,0.1,0.1,1.0,8
10.0,1.0,10.0,1.0,0.1,0.1,0.1,2.0,8
10.0,1.0,10.0,1.0,0.1,0.1,0.1,5.0,8
10.0,1.0,10.0,1.0,0.1,0.1,0.1,10.0,8
10.0,1.0,10.0,1.0,0.1,0.1,1.0,0.1,8
10.0,1.0,10.0,1.0,0.1,0.1,1.0,1.0,8
10.0,1.0,10.0,1.0,0.1,0.1,1.0,2.0,8
10.0,1.0,10.0,1.0,0.1,0.1,1.0,5.0,8
10.0,1.0,10.0,1.0,0.1,0.1,1.0,10.0,8
10.0,1.0,10.0,1.0,0.1,0.1,2.0,0.1,8
10.0,1.0,10.0,1.0,0.1,0.1,2.0,1.0,8
10.0,1.0,10.0,1.0,0.1,0.1,2.0,2.0,8
10.0,1.0,10.0,1.0,0.1,0.1,2.0,5.0,8
10.0,1.0,10.0,1.0,0.1,0.1,2.0,10.0,8
10.0,1.0,10.0,1.0,0.1,0.1,5.0,0.1,8
10.0,1.0,10.0,1.0,0.1,0.1,5.0,1.0,8
10.0,1.0,10.0,1.0,0.1,0.1,5.0,2.0,8
10.0,1.0,10.0,1.0,0.1,0.1,5.0,5.0,8
10.0,1.0,10.0,1.0,0.1,0.1,5.0,10.0,8
10.0,1.0,10.0,1.0,0.1,0.1,10.0,0.1,8
10.0,1.0,10.0,1.0,0.1,0.1,10.0,1.0,8
10.0,1.0,10.0,1.0,0.1,0.1,10.0,2.0,8
10.0,1.0,10.0,1.0,0.1,0.1,10.0,5.0,8
10.0,1.0,10.0,1.0,0.1,0.1,10.0,10.0,8
10.0,1.0,10.0,1.0,0.1,1.0,0.1,0.1,8
10.0,1.0,10.0,1.0,0.1,1.0,0.1,1.0,8
10.0,1.0,10.0,1.0,0.1,1.0,0.1,2.0,8
10.0,1.0,10.0,1.0,0.1,1.0,0.1,5.0,8
10.0,1.0,10.0,1.0,0.1,1.0,0.1,10.0,8
10.0,1.0,10.0,1.0,0.1,1.0,1.0,0.1,8
10.0,1.0,10.0,1.0,0.1,1.0,1.0,1.0,8
10.0,1.0,10.0,1.0,0.1,1.0,1.0,2.0,8
10.0,1.0,10.0,1.0,0.1,1.0,1.0,5.0,8
10.0,1.0,10.0,1.0,0.1,1.0,1.0,10.0,8
10.0,1.0,10.0,1.0,0.1,1.0,2.0,0.1,8
10.0,1.0,10.0,1.0,0.1,1.0,2.0,1.0,8
10.0,1.0,10.0,1.0,0.1,1.0,2.0,2.0,8
10.0,1.0,10.0,1.0,0.1,1.0,2.0,5.0,8
10.0,1.0,10.0,1.0,0.1,1.0,2.0,10.0,8
10.0,1.0,10.0,1.0,0.1,1.0,5.0,0.1,8
10.0,1.0,10.0,1.0,0.1,1.0,5.0,1.0,8
10.0,1.0,10.0,1.0,0.1,1.0,5.0,2.0,8
10.0,1.0,10.0,1.0,0.1,1.0,5.0,5.0,8
10.0,1.0,10.0,1.0,0.1,1.0,5.0,10.0,8
10.0,1.0,10.0,1.0,0.1,1.0,10.0,0.1,8
10.0,1.0,10.0,1.0,0.1,1.0,10.0,1.0,8
10.0,1.0,10.0,1.0,0.1,1.0,10.0,2.0,8
10.0,1.0,10.0,1.0,0.1,1.0,10.0,5.0,8
10.0,1.0,10.0,1.0,0.1,1.0,10.0,10.0,8
10.0,1.0,10.0,1.0,0.1,2.0,0.1,0.1,8
10.0,1.0,10.0,1.0,0.1,2.0,0.1,1.0,8
10.0,1.0,10.0,1.0,0.1,2.0,0.1,2.0,8
10.0,1.0,10.0,1.0,0.1,2.0,0.1,5.0,8
10.0,1.0,10.0,1.0,0.1,2.0,0.1,10.0,8
10.0,1.0,10.0,1.0,0.1,2.0,1.0,0.1,8
10.0,1.0,10.0,1.0,0.1,2.0,1.0,1.0,8
10.0,1.0,10.0,1.0,0.1,2.0,1.0,2.0,8
10.0,1.0,10.0,1.0,0.1,2.0,1.0,5.0,8
10.0,1.0,10.0,1.0,0.1,2.0,1.0,10.0,8
10.0,1.0,10.0,1.0,0.1,2.0,2.0,0.1,8
10.0,1.0,10.0,1.0,0.1,2.0,2.0,1.0,8
10.0,1.0,10.0,1.0,0.1,2.0,2.0,2.0,8
10.0,1.0,10.0,1.0,0.1,2.0,2.0,5.0,8
10.0,1.0,10.0,1.0,0.1,2.0,2.0,10.0,8
10.0,1.0,10.0,1.0,0.1,2.0,5.0,0.1,8
10.0,1.0,10.0,1.0,0.1,2.0,5.0,1.0,8
10.0,1.0,10.0,1.0,0.1,2.0,5.0,2.0,8
10.0,1.0,10.0,1.0,0.1,2.0,5.0,5.0,8
10.0,1.0,10.0,1.0,0.1,2.0,5.0,10.0,8
10.0,1.0,10.0,1.0,0.1,2.0,10.0,0.1,8
10.0,1.0,10.0,1.0,0.1,2.0,10.0,1.0,8
10.0,1.0,10.0,1.0,0.1,2.0,10.0,2.0,8
10.0,1.0,10.0,1.0,0.1,2.0,10.0,5.0,8
10.0,1.0,10.0,1.0,0.1,2.0,10.0,10.0,8
10.0,1.0,10.0,1.0,0.1,5.0,0.1,0.1,8
10.0,1.0,10.0,1.0,0.1,5.0,0.1,1.0,8
10.0,1.0,10.0,1.0,0.1,5.0,0.1,2.0,8
10.0,1.0,10.0,1.0,0.1,5.0,0.1,5.0,8
10.0,1.0,10.0,1.0,0.1,5.0,0.1,10.0,8
10.0,1.0,10.0,1.0,0.1,5.0,1.0,0.1,8
10.0,1.0,10.0,1.0,0.1,5.0,1.0,1.0,8
10.0,1.0,10.0,1.0,0.1,5.0,1.0,2.0,8
10.0,1.0,10.0,1.0,0.1,5.0,1.0,5.0,8
10.0,1.0,10.0,1.0,0.1,5.0,1.0,10.0,8
10.0,1.0,10.0,1.0,0.1,5.0,2.0,0.1,8
10.0,1.0,10.0,1.0,0.1,5.0,2.0,1.0,8
10.0,1.0,10.0,1.0,0.1,5.0,2.0,2.0,8
10.0,1.0,10.0,1.0,0.1,5.0,2.0,5.0,8
10.0,1.0,10.0,1.0,0.1,5.0,2.0,10.0,8
10.0,1.0,10.0,1.0,0.1,5.0,5.0,0.1,8
10.0,1.0,10.0,1.0,0.1,5.0,5.0,1.0,8
10.0,1.0,10.0,1.0,0.1,5.0,5.0,2.0,8
10.0,1.0,10.0,1.0,0.1,5.0,5.0,5.0,8
10.0,1.0,10.0,1.0,0.1,5.0,5.0,10.0,8
10.0,1.0,10.0,1.0,0.1,5.0,10.0,0.1,8
10.0,1.0,10.0,1.0,0.1,5.0,10.0,1.0,8
10.0,1.0,10.0,1.0,0.1,5.0,10.0,2.0,8
10.0,1.0,10.0,1.0,0.1,5.0,10.0,5.0,8
10.0,1.0,10.0,1.0,0.1,5.0,10.0,10.0,8
10.0,1.0,10.0,1.0,0.1,10.0,0.1,0.1,8
10.0,1.0,10.0,1.0,0.1,10.0,0.1,1.0,8
10.0,1.0,10.0,1.0,0.1,10.0,0.1,2.0,8
10.0,1.0,10.0,1.0,0.1,10.0,0.1,5.0,8
10.0,1.0,10.0,1.0,0.1,10.0,0.1,10.0,8
10.0,1.0,10.0,1.0,0.1,10.0,1.0,0.1,8
10.0,1.0,10.0,1.0,0.1,10.0,1.0,1.0,8
10.0,1.0,10.0,1.0,0.1,10.0,1.0,2.0,8
10.0,1.0,10.0,1.0,0.1,10.0,1.0,5.0,8
10.0,1.0,10.0,1.0,0.1,10.0,1.0,10.0,8
10.0,1.0,10.0,1.0,0.1,10.0,2.0,0.1,8
10.0,1.0,10.0,1.0,0.1,10.0,2.0,1.0,8
10.0,1.0,10.0,1.0,0.1,10.0,2.0,2.0,8
10.0,1.0,10.0,1.0,0.1,10.0,2.0,5.0,8
10.0,1.0,10.0,1.0,0.1,10.0,2.0,10.0,8
10.0,1.0,10.0,1.0,0.1,10.0,5.0,0.1,8
10.0,1.0,10.0,1.0,0.1,10.0,5.0,1.0,8
10.0,1.0,10.0,1.0,0.1,10.0,5.0,2.0,8
10.0,1.0,10.0,1.0,0.1,10.0,5.0,5.0,8
10.0,1.0,10.0,1.0,0.1,10.0,5.0,10.0,8
10.0,1.0,10.0,1.0,0.1,10.0,10.0,0.1,8
10.0,1.0,10.0,1.0,0.1,10.0,10.0,1.0,8
10.0,1.0,10.0,1.0,0.1,10.0,10.0,2.0,8
10.0,1.0,10.0,1.0,0.1,10.0,10.0,5.0,8
10.0,1.0,10.0,1.0,0.1,10.0,10.0,10.0,8
10.0,1.0,10.0,1.0,1.0,0.1,0.1,0.1,8
10.0,1.0,10.0,1.0,1.0,0.1,0.1,1.0,8
10.0,1.0,10.0,1.0,1.0,0.1,0.1,2.0,8
10.0,1.0,10.0,1.0,1.0,0.1,0.1,5.0,8
10.0,1.0,10.0,1.0,1.0,0.1,0.1,10.0,8
10.0,1.0,10.0,1.0,1.0,0.1,1.0,0.1,8
10.0,1.0,10.0,1.0,1.0,0.1,1.0,1.0,8
10.0,1.0,10.0,1.0,1.0,0.1,1.0,2.0,8
10.0,1.0,10.0,1.0,1.0,0.1,1.0,5.0,8
10.0,1.0,10.0,1.0,1.0,0.1,1.0,10.0,8
10.0,1.0,10.0,1.0,1.0,0.1,2.0,0.1,8
10.0,1.0,10.0,1.0,1.0,0.1,2.0,1.0,8
10.0,1.0,10.0,1.0,1.0,0.1,2.0,2.0,8
10.0,1.0,10.0,1.0,1.0,0.1,2.0,5.0,8
10.0,1.0,10.0,1.0,1.0,0.1,2.0,10.0,8
10.0,1.0,10.0,1.0,1.0,0.1,5.0,0.1,8
10.0,1.0,10.0,1.0,1.0,0.1,5.0,1.0,8
10.0,1.0,10.0,1.0,1.0,0.1,5.0,2.0,8
10.0,1.0,10.0,1.0,1.0,0.1,5.0,5.0,8
10.0,1.0,10.0,1.0,1.0,0.1,5.0,10.0,8
10.0,1.0,10.0,1.0,1.0,0.1,10.0,0.1,8
10.0,1.0,10.0,1.0,1.0,0.1,10.0,1.0,8
10.0,1.0,10.0,1.0,1.0,0.1,10.0,2.0,8
10.0,1.0,10.0,1.0,1.0,0.1,10.0,5.0,8
10.0,1.0,10.0,1.0,1.0,0.1,10.0,10.0,8
10.0,1.0,10.0,1.0,1.0,1.0,0.1,0.1,8
10.0,1.0,10.0,1.0,1.0,1.0,0.1,1.0,8
10.0,1.0,10.0,1.0,1.0,1.0,0.1,2.0,8
10.0,1.0,10.0,1.0,1.0,1.0,0.1,5.0,8
10.0,1.0,10.0,1.0,1.0,1.0,0.1,10.0,8
10.0,1.0,10.0,1.0,1.0,1.0,1.0,0.1,8
10.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,8
10.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,8
10.0,1.0,10.0,1.0,1.0,1.0,1.0,5.0,8
10.0,1.0,10.0,1.0,1.0,1.0,1.0,10.0,8
10.0,1.0,10.0,1.0,1.0,1.0,2.0,0.1,8
10.0,1.0,10.0,1.0,1.0,1.0,2.0,1.0,8
10.0,1.0,10.0,1.0,1.0,1.0,2.0,2.0,8
10.0,1.0,10.0,1.0,1.0,1.0,2.0,5.0,8
10.0,1.0,10.0,1.0,1.0,1.0,2.0,10.0,8
10.0,1.0,10.0,1.0,1.0,1.0,5.0,0.1,8
10.0,1.0,10.0,1.0,1.0,1.0,5.0,1.0,8
10.0,1.0,10.0,1.0,1.0,1.0,5.0,2.0,8
10.0,1.0,10.0,1.0,1.0,1.0,5.0,5.0,8
10.0,1.0,10.0,1.0,1.0,1.0,5.0,10.0,8
10.0,1.0,10.0,1.0,1.0,1.0,10.0,0.1,8
10.0,1.0,10.0,1.0,1.0,1.0,10.0,1.0,8
10.0,1.0,10.0,1.0,1.0,1.0,10.0,2.0,8
10.0,1.0,10.0,1.0,1.0,1.0,10.0,5.0,8
10.0,1.0,10.0,1.0,1.0,1.0,10.0,10.0,8
10.0,1.0,10.0,1.0,1.0,2.0,0.1,0.1,8
10.0,1.0,10.0,1.0,1.0,2.0,0.1,1.0,8
10.0,1.0,10.0,1.0,1.0,2.0,0.1,2.0,8
10.0,1.0,10.0,1.0,1.0,2.0,0.1,5.0,8
10.0,1.0,10.0,1.0,1.0,2.0,0.1,10.0,8
10.0,1.0,10.0,1.0,1.0,2.0,1.0,0.1,8
10.0,1.0,10.0,1.0,1.0,2.0,1.0,1.0,8
10.0,1.0,10.0,1.0,1.0,2.0,1.0,2.0,8
10.0,1.0,10.0,1.0,1.0,2.0,1.0,5.0,8
10.0,1.0,10.0,1.0,1.0,2.0,1.0,10.0,8
10.0,1.0,10.0,1.0,1.0,2.0,2.0,0.1,8
10.0,1.0,10.0,1.0,1.0,2.0,2.0,1.0,8
10.0,1.0,10.0,1.0,1.0,2.0,2.0,2.0,8
10.0,1.0,10.0,1.0,1.0,2.0,2.0,5.0,8
10.0,1.0,10.0,1.0,1.0,2.0,2.0,10.0,8
10.0,1.0,10.0,1.0,1.0,2.0,5.0,0.1,8
10.0,1.0,10.0,1.0,1.0,2.0,5.0,1.0,8
10.0,1.0,10.0,1.0,1.0,2.0,5.0,2.0,8
10.0,1.0,10.0,1.0,1.0,2.0,5.0,5.0,8
10.0,1.0,10.0,1.0,1.0,2.0,5.0,10.0,8
10.0,1.0,10.0,1.0,1.0,2.0,10.0,0.1,8
10.0,1.0,10.0,1.0,1.0,2.0,10.0,1.0,8
10.0,1.0,10.0,1.0,1.0,2.0,10.0,2.0,8
10.0,1.0,10.0,1.0,1.0,2.0,10.0,5.0,8
10.0,1.0,10.0,1.0,1.0,2.0,10.0,10.0,8
10.0,1.0,10.0,1.0,1.0,5.0,0.1,0.1,8
10.0,1.0,10.0,1.0,1.0,5.0,0.1,1.0,8
10.0,1.0,10.0,1.0,1.0,5.0,0.1,2.0,8
10.0,1.0,10.0,1.0,1.0,5.0,0.1,5.0,8
10.0,1.0,10.0,1.0,1.0,5.0,0.1,10.0,8
10.0,1.0,10.0,1.0,1.0,5.0,1.0,0.1,8
10.0,1.0,10.0,1.0,1.0,5.0,1.0,1.0,8
10.0,1.0,10.0,1.0,1.0,5.0,1.0,2.0,8
10.0,1.0,10.0,1.0,1.0,5.0,1.0,5.0,8
10.0,1.0,10.0,1.0,1.0,5.0,1.0,10.0,8
10.0,1.0,10.0,1.0,1.0,5.0,2.0,0.1,8
10.0,1.0,10.0,1.0,1.0,5.0,2.0,1.0,8
10.0,1.0,10.0,1.0,1.0,5.0,2.0,2.0,8
10.0,1.0,10.0,1.0,1.0,5.0,2.0,5.0,8
10.0,1.0,10.0,1.0,1.0,5.0,2.0,10.0,8
10.0,1.0,10.0,1.0,1.0,5.0,5.0,0.1,8
10.0,1.0,10.0,1.0,1.0,5.0,5.0,1.0,8
10.0,1.0,10.0,1.0,1.0,5.0,5.0,2.0,8
10.0,1.0,10.0,1.0,1.0,5.0,5.0,5.0,8
10.0,1.0,10.0,1.0,1.0,5.0,5.0,10.0,8
10.0,1.0,10.0,1.0,1.0,5.0,10.0,0.1,8
10.0,1.0,10.0,1.0,1.0,5.0,10.0,1.0,8
10.0,1.0,10.0,1.0,1.0,5.0,10.0,2.0,8
10.0,1.0,10.0,1.0,1.0,5.0,10.0,5.0,8
10.0,1.0,10.0,1.0,1.0,5.0,10.0,10.0,8
10.0,1.0,10.0,1.0,1.0,10.0,0.1,0.1,8
10.0,1.0,10.0,1.0,1.0,10.0,0.1,1.0,8
10.0,1.0,10.0,1.0,1.0,10.0,0.1,2.0,8
10.0,1.0,10.0,1.0,1.0,10.0,0.1,5.0,8
10.0,1.0,10.0,1.0,1.0,10.0,0.1,10.0,8
10.0,1.0,10.0,1.0,1.0,10.0,1.0,0.1,8
10.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,8
10.0,1.0,10.0,1.0,1.0,10.0,1.0,2.0,8
10.0,1.0,10.0,1.0,1.0,10.0,1.0,5.0,8
10.0,1.0,10.0,1.0,1.0,10.0,1.0,10.0,8
10.0,1.0,10.0,1.0,1.0,10.0,2.0,0.1,8
10.0,1.0,10.0,1.0,1.0,10.0,2.0,1.0,8
10.0,1.0,10.0,1.0,1.0,10.0,2.0,2.0,8
10.0,1.0,10.0,1.0,1.0,10.0,2.0,5.0,8
10.0,1.0,10.0,1.0,1.0,10.0,2.0,10.0,8
10.0,1.0,10.0,1.0,1.0,10.0,5.0,0.1,8
10.0,1.0,10.0,1.0,1.0,10.0,5.0,1.0,8
10.0,1.0,10.0,1.0,1.0,10.0,5.0,2.0,8
10.0,1.0,10.0,1.0,1.0,10.0,5.0,5.0,8
10.0,1.0,10.0,1.0,1.0,10.0,5.0,10.0,8
10.0,1.0,10.0,1.0,1.0,10.0,10.0,0.1,8
10.0,1.0,10.0,1.0,1.0,10.0,10.0,1.0,8
10.0,1.0,10.0,1.0,1.0,10.0,10.0,2.0,8
10.0,1.0,10.0,1.0,1.0,10.0,10.0,5.0,8
10.0,1.0,10.0,1.0,1.0,10.0,10.0,10.0,8
10.0,1.0,10.0,1.0,2.0,0.1,0.1,0.1,8
10.0,1.0,10.0,1.0,2.0,0.1,0.1,1.0,8
10.0,1.0,10.0,1.0,2.0,0.1,0.1,2.0,8
10.0,1.0,10.0,1.0,2.0,0.1,0.1,5.0,8
10.0,1.0,10.0,1.0,2.0,0.1,0.1,10.0,8
10.0,1.0,10.0,1.0,2.0,0.1,1.0,0.1,8
10.0,1.0,10.0,1.0,2.0,0.1,1.0,1.0,8
10.0,1.0,10.0,1.0,2.0,0.1,1.0,2.0,8
10.0,1.0,10.0,1.0,2.0,0.1,1.0,5.0,8
10.0,1.0,10.0,1.0,2.0,0.1,1.0,10.0,8
10.0,1.0,10.0,1.0,2.0,0.1,2.0,0.1,8
10.0,1.0,10.0,1.0,2.0,0.1,2.0,1.0,8
10.0,1.0,10.0,1.0,2.0,0.1,2.0,2.0,8
10.0,1.0,10.0,1.0,2.0,0.1,2.0,5.0,8
10.0,1.0,10.0,1.0,2.0,0.1,2.0,10.0,8
10.0,1.0,10.0,1.0,2.0,0.1,5.0,0.1,8
10.0,1.0,10.0,1.0,2.0,0.1,5.0,1.0,8
10.0,1.0,10.0,1.0,2.0,0.1,5.0,2.0,8
10.0,1.0,10.0,1.0,2.0,0.1,5.0,5.0,8
10.0,1.0,10.0,1.0,2.0,0.1,5.0,10.0,8
10.0,1.0,10.0,1.0,2.0,0.1,10.0,0.1,8
10.0,1.0,10.0,1.0,2.0,0.1,10.0,1.0,8
10.0,1.0,10.0,1.0,2.0,0.1,10.0,2.0,8
10.0,1.0,10.0,1.0,2.0,0.1,10.0,5.0,8
10.0,1.0,10.0,1.0,2.0,0.1,10.0,10.0,8
10.0,1.0,10.0,1.0,2.0,1.0,0.1,0.1,8
